https://thenewboston.com/videos.php?cat=11&video=16997 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=16998 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=16999 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17000 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17001 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17002 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17003 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17004 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17005 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17006 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17007 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17008 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17009 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17010 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17011 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17012 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17013 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17014 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17015 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
https://thenewboston.com/videos.php?cat=11&video=17016 {'title': '', 'depth': 5, 'priority': 0.5, 'last-modified': None}
